State,State Code,No. of SAT Test Centers,2016-17 (No. of Graduates),2017-18 (No. of Graduates),2018-19 (No. of Graduates),2019-20 (No. of Graduates)
Alabama,AL,9,45490,45100,44400,42750
Alaska,AK,3,7930,7940,7880,7650
Arizona,AZ,25,68190,66760,67240,66550
Arkansas,AR,13,30960,30970,31010,30990
California,CA,123,422200,426140,420520,419670
Colorado,CO,21,54630,56300,57330,58000
Connecticut,CT,66,36970,36440,36090,35220
Delaware,DE,7,8540,8780,8690,8790
District of Columbia,dc,1,3690,3820,3930,3690
Florida,FL,274,170990,173290,176060,171230
Georgia,GA,122,102660,104820,106090,105030
Hawaii,HI,13,10930,11060,10580,11190
Idaho,ID,13,18670,18940,19340,19330
Illinois,IL,55,137340,138320,140550,139380
Indiana,IN,61,67620,68200,69730,66680
Iowa,IA,6,33160,33590,33200,33210
Kansas,KS,10,33110,33610,33270,33050
Kentucky,KY,18,43510,44380,44830,43630
Louisiana,LA,14,39610,42120,40330,40580
Maine,ME,17,12410,12340,12160,11910
Maryland,MD,68,57130,58670,58010,59890
Massachusetts,MA,56,66600,66880,66840,66020
Michigan,MI,58,101010,101490,100500,96670
Minnesota,MN,7,57420,57950,59100,58450
Mississippi,MS,12,27510,28230,27360,26710
Missouri,MO,14,61060,61250,60670,59780
Montana,MT,8,9550,9300,9440,9520
Nebraska,NE,5,21420,22150,22400,22890
Nevada,NV,8,23390,23720,24200,24210
New Hampshire,NH,9,13490,13340,13090,13040
New Jersey,NJ,161,96150,96510,96190,94850
New Mexico,NM,14,19890,19520,19800,19700
New York,NY,201,182620,186250,183100,182090
North Carolina,NC,91,103800,108230,109450,107420
North Dakota,ND,2,7140,7080,7330,7430
Ohio,OH,50,120410,120010,119850,117740
Oklahoma,OK,6,40280,40810,40700,40770
Oregon,OR,20,35180,35100,35090,34580
Pennsylvania,PA,138,120030,120760,119150,116570
Rhode Island,RI,15,9250,9350,9960,9950
South Carolina,SC,33,45110,46180,46340,45420
South Dakota,SD,2,8130,8180,8090,8140
Tennessee,TN,13,63470,63720,63590,62630
Texas,TX,262,331390,341620,348740,346410
Utah,UT,4,36780,37680,38220,38890
Vermont,VT,15,6080,5810,5790,5720
Virginia,VA,93,85770,88470,88100,87990
Washington,WA,38,70430,70640,70930,69800
West Virginia,WV,17,17830,18140,17970,18070
Wisconsin,WI,6,61100,61230,60820,59810
Wyoming,WY,3,5750,5870,5870,5870
